Jan de Bont,2209,2,1996
Jon M. Chu,54507,2,291805
Phillip Noyce,13015,2,10003
Tony Scott,893,2,1535
Brian De Palma,1150,2,2067
Carlos Saldanha,5714,2,46195
Chris Columbus,10965,2,2277
Mick Jackson,8843,2,10357
Alan J. Pakula,6349,2,4477
Kathryn Bigelow,14392,1,8665
John Milius,8328,2,9387
Ron Howard,6159,2,921
Andrei Konchalovsky,58728,2,49852
Gary Ross,23964,2,4464
Jan de Bont,2209,2,664
Robert Zemeckis,24,2,8358
George Miller,20629,2,9836
Paul Greengrass,25598,2,2502
Wolfgang Petersen,5231,2,9772
Steven Soderbergh,1884,2,161
Paul W.S. Anderson,4014,2,52451
Genndy Tartakovsky,185438,0,76492
Kevin Lima,15775,2,4523
Daniel Espinosa,125738,2,59961
Kevin Lima,15775,2,10481
Brett Ratner,11091,2,59108
Nancy Meyers,17698,1,1581
Tony Scott,893,2,9798
Nancy Meyers,17698,1,22897
Steven Soderbergh,1884,2,298
Jill Culton,7881,1,7484
Roger Allers,15812,2,7484
Anthony Stacchi,52691,2,7484
Neil Burger,17329,2,157350
Jean-Jacques Annaud,2352,2,853
Peter Berg,36602,2,10159
John McTiernan,1090,0,9593
Rob Marshall,17633,2,1904
Justin Lin,58189,0,9615
Barry Cook,66191,2,51052
Sarah Smith,208113,0,51052
Martin Brest,769,2,297
Andrew Davis,12989,2,9884
Bob Fosse,66777,0,16858
Tarsem Singh,56512,2,62764
Edgar Wright,11090,2,22538
Jon Amiel,15148,2,9341
Peter Segal,13426,2,12107
Raja Gosnell,1215,2,9637
Pete Travis,43141,0,49049
Frank Coraci,57370,2,9339
George A. Romero,14999,2,16281
Brad Peyton,132876,2,39691
Doug Liman,11694,2,8247
Guillermo del Toro,10828,2,11253
David Fincher,7467,2,1949
Roger Spottiswoode,1724,2,8452
Tom Shadyac,4499,2,310
Sylvester Stallone,16483,2,27578
Brian De Palma,1150,2,954
Gary Ross,23964,2,70160
Todd Phillips,57130,2,45243
Tim Burton,510,2,364
Karey Kirkpatrick,52845,2,7518
Tim Johnson,52870,2,7518
Chris Sanders,66193,2,11544
Dean DeBlois,69797,2,11544
Gary Winick,17046,2,9986
